command,mean,stddev,median,user,system,min,max
./test.sh|./grep2.lua,0.1686625936,0.014003361895069816,0.1636801292,0.13533068,0.03765049999999999,0.1587175162,0.1932487902
./test.sh|./grep.awk,0.0930056776,0.003589926947554338,0.09388894420000002,0.08694447999999999,0.013131499999999999,0.08879009420000002,0.09709926920000002
./test.sh|./grep-full.lua,0.156458768,0.0033785149160805365,0.1560075772,0.15135548000000001,0.011367100000000002,0.15343745920000001,0.1616135222
./test.sh|./grep-jit.lua,0.06699415820000001,0.0017215697375409982,0.0674711872,0.07033908,0.005911240000000001,0.06457485420000002,0.0691804012
./test.sh|./grep-line.lua,0.159622777,0.007809107392663794,0.1560761722,0.13921048,0.0236305,0.1535032012,0.1725815592
./test.sh|./grep.lua,0.1626732802,0.006352502787366881,0.1630222542,0.13009388000000002,0.0345273,0.15553448620000002,0.1720783022
./test.sh|./grep.pl,0.07606363860000001,0.002533074527948852,0.07527997020000002,0.07016168,0.0160025,0.07308508220000001,0.07985344420000001
./test.sh|./grep.sed,0.04000334240000001,0.008786483842032696,0.034578560200000004,0.04568048,0.00754638,0.0327879952,0.0513590342
./test.sh|./grep.sh,0.012668951800000003,0.0019766398149643496,0.011696391200000001,0.014537079999999997,0.00455884,0.010737991200000003,0.015114062200000002
./test.sh|./grep.tcl,0.5809683370000001,0.010970480651937656,0.5772589302000001,0.56187708,0.0194593,0.5704940962,0.5966833912
./test.sh|./rg.sh,0.019291905000000005,0.0010610954679178015,0.018995427200000005,0.011983879999999999,0.0159831,0.018109116200000004,0.0204324092
