command,mean,stddev,median,user,system,min,max
./test.sh|./grep2.lua,0.07621871612,0.001361514285729309,0.07551192512,0.07181088000000001,0.009032,0.07529437312000001,0.07849451612
./test.sh|./grep.awk,0.07198982732,0.0014076409915440796,0.07170347512,0.07356248000000001,0.0044340000000000004,0.07056886112,0.07418851712
./test.sh|./grep-full.lua,0.06816771072,0.0009657112326577276,0.06761288112,0.07154928,0.0033374800000000003,0.06734553212,0.06937646912
./test.sh|./grep-jit.lua,0.057405545319999994,0.001410480441010155,0.057687067120000005,0.05758827999999999,0.0053224,0.05527365512,0.05910534512
./test.sh|./grep-line.lua,0.06865461192,0.0013865943507571706,0.06928678512,0.06608828,0.008269799999999999,0.06630317612,0.06974707512
./test.sh|./grep.lua,0.06850430652,0.0019188522637225887,0.06807365212000001,0.06567947999999998,0.0085256,0.06647013712000001,0.07142683112
./test.sh|./grep.pl,0.06544606152,0.0016448103869261949,0.06571870212,0.06448708,0.007098599999999999,0.06374069112,0.06738819912
./test.sh|./grep.sed,0.027737373720000003,0.0009524584994280861,0.02734672712,0.029517079999999994,0.00481728,0.026770994120000002,0.029129667120000004
./test.sh|./grep.sh,0.006594538120000002,0.0004437766292066315,0.006432466120000001,0.00684288,0.00437948,0.006233414120000001,0.007274140120000001
./test.sh|./grep.tcl,0.42332213752000003,0.014987002310331812,0.41627874112,0.41864848,0.0074046,0.41260251212,0.44904134712
./test.sh|./rg.sh,0.013885178520000003,0.0019907148553073343,0.01302887812,0.01093268,0.008347799999999999,0.012785160120000003,0.017437247120000002
