command,mean,stddev,median,user,system,min,max
./test.sh|./grep2.lua,0.18958960387999998,0.0019175239308484538,0.18973936488,0.15839536,0.03309536,0.18683113988,0.19214024588
./test.sh|./grep.awk,0.06842237148,0.002285558835182065,0.06816422588,0.06619116,0.00804256,0.06610545388,0.07079154788
./test.sh|./grep-full.lua,0.18185165028,0.014324049919522968,0.17697595488,0.15955336,0.026092160000000003,0.17220202788,0.20708890288
./test.sh|./grep-jit.lua,0.06252530548,0.0017133935166400932,0.06190405688,0.06069975999999999,0.00778896,0.06120730588000001,0.06544475688000001
./test.sh|./grep-line.lua,0.17690159088000001,0.0047142885019570485,0.17696585988,0.15247855999999999,0.026961559999999996,0.17161979288,0.18423775788
./test.sh|./grep.lua,0.17317050328,0.006767783849746183,0.17182375287999999,0.15586735999999998,0.02185736,0.16591957988,0.18261103488
./test.sh|./grep.pl,0.06567924927999999,0.00219906214014845,0.06476822588,0.06333315999999999,0.00831596,0.06441337888000001,0.06959098588
./test.sh|./grep.sed,0.028718064879999998,0.0006579596918607559,0.02876838288,0.03005776,0.00507796,0.02775396788,0.029606780880000003
./test.sh|./grep.sh,0.0073236112800000005,0.00013939148725191202,0.00735570388,0.00705856,0.004736159999999999,0.007108298880000001,0.0074571648800000005
./test.sh|./grep.tcl,0.42334250508000004,0.012776200040548632,0.41877806588,0.41631415999999993,0.012343159999999999,0.41502384788,0.44578053288
./test.sh|./rg.sh,0.014705644080000002,0.0009748808325786293,0.015017002880000001,0.00863696,0.011394759999999999,0.01364759288,0.01594614088
